Metric,PVI_Standard_dataset,PVI_Swapped_two_halves,PVI_modified_noun,PVI_Swapped_premise_hypo,PVI_Shuffing
Mean,1.17946140597984,1.14745895766256,1.13719488074205,1.13624654254936,1.11143262107279
Std Dev,0.984142683924135,1.14391201398117,1.12356760230227,1.14073044504577,1.14760703310226
Min,-9.17657814853864,-9.96066045124819,-9.56237073530486,-9.94389687819386,-10.0238981076028
Max,1.59084939837227,1.59247604110535,1.59244179987317,1.59250185054221,1.59232762788244
Median,1.53357908811334,1.53551448500719,1.53068135723828,1.53413550129035,1.51876156590266
